ARH	PCATASTRAL1	PCATASTRAL2	SUBPARCELA	VALOR	TIPO	AATIPO	IPP	SUPERFICIE	NINTERNO	NINTERNO_SUBPARCELA	CIRCULARIDAD	CONVEXIDAD	ELONGACION	PLUVIOMETRIA	TIPO_VERANO	ETP	TM	TMIN	CLASIF	INV	TUSEC	TUREG	REGIHU	REGITE	PLU	PSECO	PFRIO	PCAL	ALTURA_MEDIA	PENDIENTE_MEDIA	ORIENTACION_MEDIA	LAT	LON
1605	46250A0	2500550	0	18600	FCR	FR	2	194.727922	1989	10	1195	217848046	175618418	0.629	0.999	0.45	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33507	39.49212
1605	46250A0	2500552	0	18600	FCR	FR	2	194.727922	1989	10	771	217848048	175618420	0.52	0.993	0.497	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33856	39.49213
1605	46250A0	2500554	0	18600	FCR	FR	2	194.727922	1989	10	1138	217848050	175618422	0.366	1	0.756	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.3367	39.49216
1604	46258A0	3000646	a	24800	FCR	FR	2	227.182575	1989	5	1026	264403437	175844893	0.587	1	0.408	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.3031	39.49218
1604	46258A0	2900725	0	24800	FCR	FR	2	227.182575	1989	5	665	218149716	175844973	0.665	1	0.375	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.33159	39.4922
1605	46250A0	2500556	0	18600	FCR	FR	2	194.727922	1989	10	811	217848052	175618424	0.328	1	0.76	850	4	30	16	62	6	3	20	50	3	6	500	4	5	1	5.33716	39.49222
1611	46001A0	601096	0	16100	FCR	FR	5	133.604991	1989	23	190	214757167	173532064	0.759	1	0.137	750	5	30	12	65	7	3	10	35	4	13	350	5	7	1	5.32636	39.49222
1604	46258A0	2400110	0	24800	FCR	FR	1	270.455447	1989	1	9841	218144540	175842786	0.689	0.967	0.34	850	4	30	16	62	6	3	20	50	4	6	500	5	4	2	5.3431	39.49224
1604	46258A0	3001270	a	24800	FCR	FR	1	270.455447	1989	1	564	264403425	175846217	0.723	0.999	0.263	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.32964	39.4923
1604	46258A0	3100654	a	24800	FCR	FR	3	205.54614	1989	8	812	218158507	175842699	0.698	1	0.393	850	4	30	16	62	6	3	15	50	4	6	500	5	4	2	5.33105	39.49231
1604	46258A0	2400052	c	24800	FCR	FR	2	227.182575	1989	5	4809	218158150	175843382	0.753	0.999	0.145	850	4	30	16	62	6	3	20	50	4	6	500	5	4	2	5.31935	39.49234
1604	46258A0	2400360	a	24800	FCR	FR	2	227.182575	1989	5	4683	218154274	175843387	0.801	0.994	0.029	850	4	30	16	62	6	3	20	50	4	6	500	5	4	2	5.33228	39.49235
1611	46001A0	600953	0	16100	FCR	FR	3	178.500595	1989	13	517	214749763	173531839	0.43	1	0.665	750	5	30	12	65	7	3	10	35	4	13	350	5	7	1	5.32503	39.49237
1604	46258A0	500219	0	24800	FCR	FR	2	227.182575	1989	5	905	218161334	175843046	0.648	1	0.338	850	4	30	18	62	6	3	15	50	4	6	500	5	4	2	5.32756	39.4924
